ICD10,Text
A05.3,хранител отравян предизвика vibrio parahaemolyticus
A05.4,хранител отравян предизвика bacillus cereus
A15.1,туберкулоз бели дробов потвърд само културел растеж
A15.2,туберкулоз бели дробов потвърд хистологич
A15.3,туберкулоз бели дробов потвърд неуточн метод
A16.0,туберкулоз бели дробов отрицател бактериологич хистологич изследва
A16.1,туберкулоз бели дробов провеждан бактериологич хистологич изследва
A17.0,туберкулоз менингит
A17.1,менингеал туберкулом
A17.9,туберкулоз нерв систем неуточн
A19.0,ост милиар туберкулоз уточн локализаци
A19.2,ост милиар туберкулоз неуточн локализаци
A20.3,чумен менингит
A25.9,треск ухапван плъх неуточн
A30.8,форм прока
A40.2,септицем предизвика стрептоко група d
A40.8,стрептококов септицеми
A41.0,септицем предизвика staphyloccocus aureus
A41.3,септицем предизвика haemophilus influenzae
A44.8,форм бартонелоз
A49.0,стафилококов инфекци неуточн
A49.2,инфекци предизвика haemophilus influenzae неуточн
A49.3,инфекци предизвика микоплаз неуточн
A56.2,хламиди инфекци пикоч полов тракт неуточн
A60.9,аногенитал херпес вирус инфекци неуточн
A63.8,уточн болест предава полов път
A83.6,болест предизвика rocio вирус
A85.0,ентеровирус енцефалит
A85.1,аденовирус енцефалит
A89,вирус инфекци централ нерв систем неуточн
A92.9,вирус треск предава комар неуточн
A96.9,аренавирус хеморагич треск неуточн
A99,вирус хеморагич треск неуточн
B02.7,дисеминира херпес зостер инфекци
B05.4,брусниц интестинал усложн
B16.0,ост хепатит делт агент коинфекци хепатал кома
B16.1,ост хепатит делт агент коинфекци хепатал кома
B16.2,ост хепатит делт агент хепатал кома
B17.1,ост хепатит
B17.2,ост хепатит
B18.1,хронич вирус хепатит делт агент
B18.9,хронич вирус хепатит неуточн
B19.0,неуточн вирус хепатит хепатал кома
B21.8,болест предизвика hiv прояв злокачеств новообразува
B23.8,болест предизвика hiv прояв уточн състоян
B25.1,цитомегалвирус хепатит
B25.2,цитомегалвирус панкреатит
B27.8,инфекциоз мононуклеоз
B34.2,коронавирус инфекци неуточн
B34.3,парвовирус инфекци неуточн
B34.4,паповавирус инфекци неуточн
B39.0,ост белодроб инфекци предизвика histoplasma capsulatum
B40.1,хронич белодроб бластомикоз
B40.2,белодроб бластомикоз неуточн
B46.0,белодроб мукормикоз
B46.1,риноцеребрал мукормикоз
B46.2,гастроинтестинал мукормикоз
B46.9,зигомикоз неуточн
B48.4,пеницилоз
B51.0,малар предизвика plasmodium vivax руптур слезк
B51.8,малар предизвика plasmodium vivax усложн
B52.8,малар предизвика plasmodium malariae усложн
B67.1,инвази бели дроб предизвика echinococcus granulosus
B77.0,аскаридоз чревн усложн
B83.3,сингамиоз
B90.0,късн последи туберкулоз централ нерв систем
B90.1,късн последи туберкулоз пикоч полов орга
B90.2,късн последи туберкулоз кост стави
B91,последи полиомиелит
B92,последи лепр
B94.0,късн последи трахом
B95.0,стрептокок група причин болест класифицира другад
B95.1,стрептокок група причин болест класифицира другад
B95.2,стрептокок група d причин болест класифицира другад
B95.4,стрептокок причин болест класифицира другад
B95.6,staphylococcus aureus причин болест класифицира другад
B95.7,стафилокок причин болест класифицира другад
C00.2,външ уст неуточн
C00.4,долн уст вътреш повърхност
C00.5,уст неуточн вътреш повърхност
C00.6,комисур уст
C00.8,лези излиза грани посоч локализаци уст
C04.8,лези излиза грани посоч локализаци пода уст кухин
C05.8,лези излиза грани посоч локализаци пода небц
C05.9,небц неуточн
C06.8,лези излиза грани посоч локализаци неуточн част уст кухин
C06.9,уст кухин неуточн част
C09.8,лези излиза грани посоч локализаци тонзил
C10.4,бранхиал цепк
C11.8,лези излиза грани посоч локализаци назофаринкс
C13.8,лези излиза грани посоч локализаци хипофаринкс
C14.0,фаринкс неуточн
C14.8,лези излиза грани посоч локализаци уст уст кухин фаринкс
C15.9,хранопровод неуточн част
C21.2,клоакоген зона
C21.8,лези излиза грани посоч локализаци ректум анус анал кана
C22.4,сарком черни дроб
C26.8,лези излиза грани посоч локализаци храносмилател систем
C30.1,средн ухо
C31.8,лези излиза грани посоч локализаци синус
C31.9,злокачеств новообразувани синус неуточн
C32.8,лези излиза грани посоч локализаци ларинкс
C38.1,преден медиастинум
C38.8,лези излиза грани посоч локализаци сърц медиастинум плевр
C39.0,горн дихател пътищ неуточн част
C39.8,лези излиза грани посоч локализаци дихател систем гръдни кош
C39.9,неточ определ локализаци дихател систем
C40.0,лопатк скапул дълги кост горен крайни
C40.8,лези излиза грани посоч локализаци кост ставн хрущял крайни
C41.2,гръбнач стълб
C41.3,ребр гръдн кост ключиц
C41.4,кост таза сакрум опашк
C41.8,лези излиза грани посоч локализаци кост ставн хрущял
C43.0,злокачеств меланом уст
C43.8,лези излиза грани посоч локализаци злокачеств меланом кожат
C44.0,кожа уст
C44.1,кожа клепач включител ъгл клепач цепк
C44.4,кожа окосме част глават шият
